W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] 
W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] *****************************************
W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] *****************************************
Epoch [1], Batch [0/4125], Loss: 7.3150
Epoch [1], Batch [5/4125], Loss: 7.2196
Epoch [1], Batch [10/4125], Loss: 7.2795
Epoch [1], Batch [15/4125], Loss: 7.2254
Epoch [1], Batch [20/4125], Loss: 7.2439
Epoch [1], Batch [25/4125], Loss: 7.2472
Epoch [1], Batch [30/4125], Loss: 7.2726
Epoch [1], Batch [35/4125], Loss: 7.2217
Epoch [1], Batch [40/4125], Loss: 7.2434
Epoch [1], Batch [45/4125], Loss: 7.1871
Epoch [1], Batch [50/4125], Loss: 7.1607
Epoch [1], Batch [55/4125], Loss: 7.1382
Epoch [1], Batch [60/4125], Loss: 7.1295
Epoch [1], Batch [65/4125], Loss: 7.0859
Epoch [1], Batch [70/4125], Loss: 7.0887
Epoch [1], Batch [75/4125], Loss: 7.0813
Epoch [1], Batch [80/4125], Loss: 7.0978
Epoch [1], Batch [85/4125], Loss: 6.9739
Epoch [1], Batch [90/4125], Loss: 6.9735
Epoch [1], Batch [95/4125], Loss: 6.9741
Epoch [1], Batch [100/4125], Loss: 6.8366
Epoch [1], Batch [105/4125], Loss: 6.8503
Epoch [1], Batch [110/4125], Loss: 6.7945
Epoch [1], Batch [115/4125], Loss: 6.7628
Epoch [1], Batch [120/4125], Loss: 6.7131
Epoch [1], Batch [125/4125], Loss: 6.7007
Epoch [1], Batch [130/4125], Loss: 6.6576
Epoch [1], Batch [135/4125], Loss: 6.5584
Epoch [1], Batch [140/4125], Loss: 6.5453
Epoch [1], Batch [145/4125], Loss: 6.5048
Epoch [1], Batch [150/4125], Loss: 6.4590
Epoch [1], Batch [155/4125], Loss: 6.4678
Epoch [1], Batch [160/4125], Loss: 6.3877
Epoch [1], Batch [165/4125], Loss: 6.3060
Epoch [1], Batch [170/4125], Loss: 6.4033
Epoch [1], Batch [175/4125], Loss: 6.3156
Epoch [1], Batch [180/4125], Loss: 6.2035
Epoch [1], Batch [185/4125], Loss: 6.2590
Epoch [1], Batch [190/4125], Loss: 6.2451
Epoch [1], Batch [195/4125], Loss: 6.1215
Epoch [1], Batch [200/4125], Loss: 6.3034
Epoch [1], Batch [205/4125], Loss: 6.2283
Epoch [1], Batch [210/4125], Loss: 6.1597
Epoch [1], Batch [215/4125], Loss: 6.2468
Epoch [1], Batch [220/4125], Loss: 6.2150
Epoch [1], Batch [225/4125], Loss: 6.1508
Epoch [1], Batch [230/4125], Loss: 6.1107
Epoch [1], Batch [235/4125], Loss: 6.2256
Epoch [1], Batch [240/4125], Loss: 6.1568
Epoch [1], Batch [245/4125], Loss: 6.1432
Epoch [1], Batch [250/4125], Loss: 6.0999
Epoch [1], Batch [255/4125], Loss: 6.1201
Epoch [1], Batch [260/4125], Loss: 6.0976
Epoch [1], Batch [265/4125], Loss: 6.1090
Epoch [1], Batch [270/4125], Loss: 6.1113
Epoch [1], Batch [275/4125], Loss: 6.1077
Epoch [1], Batch [280/4125], Loss: 6.0814
Epoch [1], Batch [285/4125], Loss: 6.1556
Epoch [1], Batch [290/4125], Loss: 6.0929
Epoch [1], Batch [295/4125], Loss: 6.0250
Epoch [1], Batch [300/4125], Loss: 5.9445
Epoch [1], Batch [305/4125], Loss: 6.0501
Epoch [1], Batch [310/4125], Loss: 6.0732
Epoch [1], Batch [315/4125], Loss: 6.1417
Epoch [1], Batch [320/4125], Loss: 6.1038
Epoch [1], Batch [325/4125], Loss: 6.0703
Epoch [1], Batch [330/4125], Loss: 5.9718
Epoch [1], Batch [335/4125], Loss: 6.0083
Epoch [1], Batch [340/4125], Loss: 6.0158
Epoch [1], Batch [345/4125], Loss: 6.1359
Epoch [1], Batch [350/4125], Loss: 5.9934
Epoch [1], Batch [355/4125], Loss: 6.0206
Epoch [1], Batch [360/4125], Loss: 6.0298
Epoch [1], Batch [365/4125], Loss: 6.0110
Epoch [1], Batch [370/4125], Loss: 5.9792
Epoch [1], Batch [375/4125], Loss: 5.9736
Epoch [1], Batch [380/4125], Loss: 6.0093
Epoch [1], Batch [385/4125], Loss: 5.9519
Epoch [1], Batch [390/4125], Loss: 6.0311
Epoch [1], Batch [395/4125], Loss: 6.0241
Epoch [1], Batch [400/4125], Loss: 6.0543
Epoch [1], Batch [405/4125], Loss: 6.0572
Epoch [1], Batch [410/4125], Loss: 5.9459
Epoch [1], Batch [415/4125], Loss: 6.0331
Epoch [1], Batch [420/4125], Loss: 6.0020
Epoch [1], Batch [425/4125], Loss: 6.0125
Epoch [1], Batch [430/4125], Loss: 5.8482
Epoch [1], Batch [435/4125], Loss: 5.9424
Epoch [1], Batch [440/4125], Loss: 5.9405
Epoch [1], Batch [445/4125], Loss: 5.9297
Epoch [1], Batch [450/4125], Loss: 6.0051
Epoch [1], Batch [455/4125], Loss: 5.8968
Epoch [1], Batch [460/4125], Loss: 6.0456
Epoch [1], Batch [465/4125], Loss: 5.8958
Epoch [1], Batch [470/4125], Loss: 6.0010
Epoch [1], Batch [475/4125], Loss: 5.9328
Epoch [1], Batch [480/4125], Loss: 5.9861
Epoch [1], Batch [485/4125], Loss: 5.8649
Epoch [1], Batch [490/4125], Loss: 5.9180
Epoch [1], Batch [495/4125], Loss: 5.9859
Epoch [1], Batch [500/4125], Loss: 5.9585
Epoch [1], Batch [505/4125], Loss: 5.9822
Epoch [1], Batch [510/4125], Loss: 5.9875
Epoch [1], Batch [515/4125], Loss: 5.9415
Epoch [1], Batch [520/4125], Loss: 5.9418
Epoch [1], Batch [525/4125], Loss: 5.9374
Epoch [1], Batch [530/4125], Loss: 5.8713
Epoch [1], Batch [535/4125], Loss: 5.9343
Epoch [1], Batch [540/4125], Loss: 5.7991
